GO,E_coli,A_logei,A_salmonicida,A_wodanis,P_katoptron,P_aquimaris,P_damselae,P_kishitanii,P_leiognathi,P_phosphoreum,P_asymbiotica,P_luminescens,S_woodyi,V_azureus,V_campbellii,V_cholerae,V_fischeri,V_harveyi,V_mediterranei,V_orientalis,V_sagamiensis,V_splendidus
GO:0032946,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO:0008873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0003756,4,5,5,7,2,3,3,4,4,4,3,3,4,4,3,3,6,3,6,5,3,5
GO:0033353,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GO:0051108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO:0008738,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
GO:0008340,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,2,1,0,1,2
GO:0044763,1014,698,866,717,267,705,702,735,727,737,559,565,604,640,796,777,699,802,812,733,616,791
GO:0051180,10,4,4,5,0,7,7,7,7,7,7,7,2,7,7,8,4,9,8,7,6,9
GO:0003844,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
GO:0004221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0019628,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GO:0051181,9,7,6,7,5,5,5,5,5,5,4,5,5,6,7,9,7,9,6,6,9,7
GO:0070548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GO:0050857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO:0045260,7,8,8,8,8,11,11,11,11,11,7,7,7,8,11,8,8,11,11,11,8,11
GO:0046115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0044238,1359,1048,1222,1050,493,1048,1060,1098,1064,1107,981,976,964,1008,1166,1114,1026,1177,1202,1079,996,1171
GO:0051096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GO:0050994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO:0071975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
GO:1901474,6,3,4,4,0,3,3,3,3,3,3,3,0,3,3,2,3,3,3,3,3,3
GO:0006914,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2
GO:0050688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO:0051213,5,2,2,2,0,1,1,1,2,1,4,4,3,3,3,2,1,2,2,2,4,3
GO:0052823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0046900,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GO:0032269,18,13,13,13,7,13,12,12,13,14,15,13,13,14,14,13,13,14,13,12,13,14
GO:0008852,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GO:0004370,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
GO:0042803,7,6,6,6,0,6,6,6,7,6,5,7,5,6,6,6,4,8,7,6,5,7
GO:0015172,2,2,2,2,0,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1
GO:0070689,3,0,0,1,1,2,1,2,2,1,1,0,1,1,2,1,2,2,1,1,1,1
GO:0048610,4,4,2,3,2,3,3,3,4,3,5,4,3,3,4,4,6,6,4,4,3,5
GO:0044216,4,1,1,2,1,1,4,1,2,1,3,2,1,2,3,2,1,4,1,2,5,5
GO:0010202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GO:0009316,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GO:1901135,394,344,359,345,165,350,347,375,359,369,308,306,261,320,384,367,344,383,398,359,314,379
GO:0050848,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO:0052777,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1
GO:0045165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:1901463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GO:0051052,20,12,12,12,9,13,13,13,13,13,15,16,14,15,14,14,12,14,17,14,14,13
GO:0050655,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016667,28,24,23,26,7,24,22,24,24,24,15,17,22,21,24,18,26,24,29,23,22,29
GO:0006434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GO:0004795,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GO:0009163,31,34,34,33,26,32,32,33,31,33,32,31,29,31,34,31,33,33,33,32,31,33
GO:0006486,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
GO:0008703,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GO:0030176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GO:0051093,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GO:0015837,8,12,12,12,0,14,10,16,14,14,4,4,1,7,18,18,12,18,19,15,7,17
GO:0019698,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
GO:0019219,243,158,146,163,38,158,157,155,157,161,149,153,152,150,210,194,152,213,206,191,152,200
