,LuxA,LuxB,LuxC,LuxD,LuxE,LuxF,LuxG,LuxI,LuxJ,LuxM,LuxN,LuxO,LuxP,LuxQ,LuxR,LuxS,LuxU,LuxY
A_fischeri,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
A_logei,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1
A_salmonicida,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1
A_wodanis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
E_coli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P_aquimaris,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
P_damselae,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
P_kishitanii,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
P_leiognathi,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
P_phosphoreum,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
P_katoptron,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_asymbiotica,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
P_luminescens,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
S_woodyi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V_azureus,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
V_campbellii,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
V_cholerae,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0
V_harveyi,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
V_mediterranea,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
V_orientalis,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
V_sagamiensis,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
V_splendidus,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
