kegg_pathway	entrezgene	kegg_pathway_definition
00010	b0114	Glycolysis / Gluconeogenesis
00010	b0115	Glycolysis / Gluconeogenesis
00010	b0116	Glycolysis / Gluconeogenesis
00010	b0356	Glycolysis / Gluconeogenesis
00010	b0688	Glycolysis / Gluconeogenesis
00010	b0755	Glycolysis / Gluconeogenesis
00010	b0756	Glycolysis / Gluconeogenesis
00010	b1002	Glycolysis / Gluconeogenesis
00010	b1101	Glycolysis / Gluconeogenesis
00010	b1241	Glycolysis / Gluconeogenesis
00010	b1378	Glycolysis / Gluconeogenesis
00010	b1478	Glycolysis / Gluconeogenesis
00010	b1621	Glycolysis / Gluconeogenesis
00010	b1676	Glycolysis / Gluconeogenesis
00010	b1723	Glycolysis / Gluconeogenesis
00010	b1734	Glycolysis / Gluconeogenesis
00010	b1779	Glycolysis / Gluconeogenesis
00010	b1780	Glycolysis / Gluconeogenesis
00010	b1854	Glycolysis / Gluconeogenesis
00010	b2097	Glycolysis / Gluconeogenesis
00010	b2388	Glycolysis / Gluconeogenesis
00010	b2417	Glycolysis / Gluconeogenesis
00010	b2453	Glycolysis / Gluconeogenesis
00010	b2715	Glycolysis / Gluconeogenesis
00010	b2716	Glycolysis / Gluconeogenesis
00010	b2779	Glycolysis / Gluconeogenesis
00010	b2901	Glycolysis / Gluconeogenesis
00010	b2925	Glycolysis / Gluconeogenesis
00010	b2926	Glycolysis / Gluconeogenesis
00010	b3403	Glycolysis / Gluconeogenesis
00010	b3588	Glycolysis / Gluconeogenesis
00010	b3589	Glycolysis / Gluconeogenesis
00010	b3612	Glycolysis / Gluconeogenesis
00010	b3721	Glycolysis / Gluconeogenesis
00010	b3879	Glycolysis / Gluconeogenesis
00010	b3885	Glycolysis / Gluconeogenesis
00010	b3916	Glycolysis / Gluconeogenesis
00010	b3919	Glycolysis / Gluconeogenesis
00010	b3925	Glycolysis / Gluconeogenesis
00010	b4025	Glycolysis / Gluconeogenesis
00010	b4069	Glycolysis / Gluconeogenesis
00010	b4232	Glycolysis / Gluconeogenesis
