C_photodesmus.genes	C_photodesmus.gene.names	C_photodesmus.species	C_photodesmus.GOids	C_photodesmus.KEGGids
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
LUXB_ALIFS	Alkanal monooxygenase beta chain	Aliivibrio fischeri	GO:0047646;GO:0008218	
LUXA_ALIFS	Alkanal monooxygenase alpha chain	Aliivibrio fischeri	GO:0047646;GO:0008218	
LUXD_ALIFS	Acyl transferase	Aliivibrio fischeri	GO:0016746;GO:0008218;GO:0006631	
LUXY_ALIFS	Yellow fluorescent protein	Aliivibrio fischeri	GO:0008218	
LUXE_ALIFS	Long-chain-fatty-acid--luciferin-component ligase	Aliivibrio fischeri	GO:0005524;GO:0047474;GO:0008218	
LUXA_ALIFS	Alkanal monooxygenase alpha chain	Aliivibrio fischeri	GO:0047646;GO:0008218	
LUXB_ALIFS	Alkanal monooxygenase beta chain	Aliivibrio fischeri	GO:0047646;GO:0008218	
LUXC_ALIFS	Long-chain acyl-protein thioester reductase	Aliivibrio fischeri	GO:0003995;GO:0050062;GO:0008218	
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
LUXA_KRYAS	Alkanal monooxygenase alpha chain	Kryptophanaron alfredi symbiont	GO:0047646;GO:0008218	
LUXB_KRYAS	Alkanal monooxygenase beta chain	Kryptophanaron alfredi symbiont	GO:0047646;GO:0008218	
LUXA_KRYAS	Alkanal monooxygenase alpha chain	Kryptophanaron alfredi symbiont	GO:0047646;GO:0008218	
LUXG_PHOLE	Probable flavin reductase	Photobacterium leiognathi	GO:0016491;GO:0008218	
LUXF_PHOLE	Non-fluorescent flavoprotein	Photobacterium leiognathi	GO:0047646	
LUXP_PHOLE	Lumazine protein	Photobacterium leiognathi	GO:0008218	
LUXE_PHOLE	Long-chain-fatty-acid--luciferin-component ligase	Photobacterium leiognathi	GO:0005524;GO:0047474;GO:0008218	
LUXF_PHOLE	Non-fluorescent flavoprotein	Photobacterium leiognathi	GO:0047646	
LUXG_PHOLE	Probable flavin reductase	Photobacterium leiognathi	GO:0016491;GO:0008218	
LUXB_PHOPO	Alkanal monooxygenase beta chain	Photobacterium phosphoreum	GO:0047646;GO:0008218	
LUXA_PHOPO	Alkanal monooxygenase alpha chain	Photobacterium phosphoreum	GO:0047646;GO:0008218	
LUXF_PHOPO	Non-fluorescent flavoprotein	Photobacterium phosphoreum	GO:0047646	
LUXD_PHOPO	Acyl transferase	Photobacterium phosphoreum	GO:0016746;GO:0008218;GO:0006631	
LUXP_PHOPO	Lumazine protein	Photobacterium phosphoreum	GO:0008218	
LUXA_PHOPO	Alkanal monooxygenase alpha chain	Photobacterium phosphoreum	GO:0047646;GO:0008218	
LUXB_PHOPO	Alkanal monooxygenase beta chain	Photobacterium phosphoreum	GO:0047646;GO:0008218	
LUXF_PHOPO	Non-fluorescent flavoprotein	Photobacterium phosphoreum	GO:0047646	
LUXC_PHOPO	Long-chain acyl-protein thioester reductase	Photobacterium phosphoreum	GO:0003995;GO:0050062;GO:0008218	
LUXE_PHOLU	Long-chain-fatty-acid--luciferin-component ligase	Photorhabdus luminescens	GO:0005524;GO:0047474;GO:0008218	
LUXC_PHOLU	Long-chain acyl-protein thioester reductase	Photorhabdus luminescens	GO:0003995;GO:0050062;GO:0008218	
LUXB_PHOLL	Alkanal monooxygenase beta chain	Photorhabdus luminescens subsp. laumondii105565 / TT01)	GO:0047646;GO:0008218	plu:plu2082
LUXA_PHOLL	Alkanal monooxygenase alpha chain	Photorhabdus luminescens subsp. laumondii105565 / TT01)	GO:0047646;GO:0008218	plu:plu2081
LUXD_PHOLL	Acyl transferase	Photorhabdus luminescens subsp. laumondii105565 / TT01)	GO:0016746;GO:0008218;GO:0006631	plu:plu2080
LUXA_PHOLL	Alkanal monooxygenase alpha chain	Photorhabdus luminescens subsp. laumondii105565 / TT01)	GO:0047646;GO:0008218	plu:plu2081
LUXB_PHOLL	Alkanal monooxygenase beta chain	Photorhabdus luminescens subsp. laumondii105565 / TT01)	GO:0047646;GO:0008218	plu:plu2082
LUXC_PHOLL	Long-chain acyl-protein thioester reductase	Photorhabdus luminescens subsp. laumondii105565 / TT01)	GO:0003995;GO:0050062;GO:0008218	plu:plu2079
LUXD_SHEHA	Acyl transferase	Shewanella hanedai	GO:0016746;GO:0008218;GO:0006631	
LUXD_SHEWM	Acyl transferase	Shewanella woodyi	GO:0016746;GO:0008218;GO:0006631	swd:Swoo_3634
LUXA_VIBAB	Alkanal monooxygenase alpha chain	Vibrio albensis	GO:0047646;GO:0008218	
LUXA_VIBAB	Alkanal monooxygenase alpha chain	Vibrio albensis	GO:0047646;GO:0008218	
LUXO_VIBCB	Luminescence regulatory protein LuxO	Vibrio campbellii	GO:0005622;GO:0005524;GO:0043565;GO:0008134;GO:0000160;GO:0045893;GO:0006351	vha:VIBHAR_02959
LUXD_VIBCB	Acyl transferase	Vibrio campbellii	GO:0016746;GO:0008218;GO:0006631	vca:M892_20830
LUXN_VIBCB	Autoinducer 1 sensor kinase/phosphatase LuxN	Vibrio campbellii	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155;GO:0023014	vca:M892_17050
LUXO_VIBCH	Regulatory protein LuxO	Vibrio cholerae serotype O1	GO:0005622;GO:0005524;GO:0000156;GO:0043565;GO:0003700;GO:0008134;GO:0000160;GO:0006355;GO:0006351	vch:VC1021
LUXQ_VIBCH	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio cholerae serotype O1	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155;GO:0000160	vch:VCA0736
LUXO_VIBCH	Regulatory protein LuxO	Vibrio cholerae serotype O1	GO:0005622;GO:0005524;GO:0000156;GO:0043565;GO:0003700;GO:0008134;GO:0000160;GO:0006355;GO:0006351	vch:VC1021
LUXO_VIBC3	Regulatory protein LuxO	Vibrio cholerae serotype O1O395)	GO:0005622;GO:0005524;GO:0003677;GO:0008134;GO:0000160;GO:0006355;GO:0006351	vco:VC0395_1095
LUXD_VIBFM	Acyl transferase	Vibrio fischeri	GO:0016746;GO:0008218;GO:0006631	vfm:VFMJ11_A1040
LUXD_VIBF1	Acyl transferase	Vibrio fischeri	GO:0016746;GO:0008218;GO:0006631	vfi:VF_A0922
LUXS_VIBF1	Transcriptional activator protein LuxR	Vibrio fischeri	GO:0032993;GO:0001216;GO:0000976;GO:0008218;GO:0045893;GO:0009372;GO:0006351	vfi:VF_A0925
LUXR_VIBHA	HTH-type transcriptional regulator LuxR	Vibrio harveyi	GO:0003677;GO:0008218;GO:0006355;GO:0006351	
LUXG_VIBHA	Probable flavin reductase	Vibrio harveyi	GO:0016491;GO:0008218	
LUXO_VIBHA	Luminescence regulatory protein LuxO	Vibrio harveyi	GO:0005622;GO:0005524;GO:0043565;GO:0008134;GO:0008218;GO:0000160;GO:0006355;GO:0006351	
LUXG_VIBHA	Probable flavin reductase	Vibrio harveyi	GO:0016491;GO:0008218	
LUXG_VIBHA	Probable flavin reductase	Vibrio harveyi	GO:0016491;GO:0008218	
LUXB_VIBHA	Alkanal monooxygenase beta chain	Vibrio harveyi	GO:0047646;GO:0008218	
LUXA_VIBHA	Alkanal monooxygenase alpha chain	Vibrio harveyi	GO:0047646;GO:0008218	
LUXD_VIBHA	Acyl transferase	Vibrio harveyi	GO:0016746;GO:0008218;GO:0006631	
LUXQ_VIBHA	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio harveyi	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155;GO:0023014	
LUXQ_VIBHA	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio harveyi	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155;GO:0023014	
LUXN_VIBHA	Autoinducer 1 sensor kinase/phosphatase LuxN	Vibrio harveyi	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155	
LUXE_VIBHA	Long-chain-fatty-acid--luciferin-component ligase	Vibrio harveyi	GO:0005524;GO:0047474;GO:0008218	
LUXA_VIBHA	Alkanal monooxygenase alpha chain	Vibrio harveyi	GO:0047646;GO:0008218	
LUXB_VIBHA	Alkanal monooxygenase beta chain	Vibrio harveyi	GO:0047646;GO:0008218	
LUXC_VIBHA	Long-chain acyl-protein thioester reductase	Vibrio harveyi	GO:0003995;GO:0050062;GO:0008218	
LUXG_VIBHA	Probable flavin reductase	Vibrio harveyi	GO:0016491;GO:0008218	
LUXO_VIBPA	Regulatory protein LuxO	Vibrio parahaemolyticus serotype O3:K6	GO:0005622;GO:0005524;GO:0043565;GO:0008134;GO:0000160;GO:0006355;GO:0006351	vpa:VP2099
LUXQ_VIBPA	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio parahaemolyticus serotype O3:K6	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155	vpa:VPA1220
LUXQ_VIBPA	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio parahaemolyticus serotype O3:K6	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155	vpa:VPA1220
LUXO_VIBVY	Regulatory protein LuxO	Vibrio vulnificus	GO:0005622;GO:0005524;GO:0043565;GO:0008134;GO:0000160;GO:0006355;GO:0006351	vvy:VV1195
LUXO_VIBVU	Regulatory protein LuxO	Vibrio vulnificus	GO:0005622;GO:0005524;GO:0043565;GO:0008134;GO:0000160;GO:0006355;GO:0006351	vvu:VV1_3091
LUXQ_VIBVU	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio vulnificus	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155	vvu:VV2_0752
LUXQ_VIBVY	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio vulnificus	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155	vvy:VVA1220
LUXQ_VIBVU	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio vulnificus	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155	vvu:VV2_0752
LUXQ_VIBVY	Autoinducer 2 sensor kinase/phosphatase LuxQ	Vibrio vulnificus	GO:0016021;GO:0005622;GO:0005886;GO:0005524;GO:0004721;GO:0000155	vvy:VVA1220
