A_wodanis.genes	A_wodanis.gene.names	A_wodanis.species	A_wodanis.GOids	A_wodanis.KEGGids
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
LUXS_ALISL	S-ribosylhomocysteine lyase	Aliivibrio salmonicidaLFI1238))	GO:0005506;GO:0043768;GO:0009372	vsa:VSAL_I0645
LUXY_ALIFS	Yellow fluorescent protein	Aliivibrio fischeri	GO:0008218	
LUXY_ALIFS	Yellow fluorescent protein	Aliivibrio fischeri	GO:0008218	
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
LUXG_ALIFS	Probable flavin reductase	Aliivibrio fischeri	GO:0016491;GO:0008218	
